YEAR,GEO,FUEL,SUPPLY
1995,Canada,coal (kilotonnes),Production
1996,Canada,coal (kilotonnes),Production
1997,Canada,coal (kilotonnes),Production
1998,Canada,coal (kilotonnes),Production
1999,Canada,coal (kilotonnes),Production
2000,Canada,coal (kilotonnes),Production
2001,Canada,coal (kilotonnes),Production
2002,Canada,coal (kilotonnes),Production
2003,Canada,coal (kilotonnes),Production
2004,Canada,coal (kilotonnes),Production
2005,Canada,coal (kilotonnes),Production
2006,Canada,coal (kilotonnes),Production
2007,Canada,coal (kilotonnes),Production
2008,Canada,coal (kilotonnes),Production
2009,Canada,coal (kilotonnes),Production
2010,Canada,coal (kilotonnes),Production
2011,Canada,coal (kilotonnes),Production
2012,Canada,coal (kilotonnes),Production
2013,Canada,coal (kilotonnes),Production
2014,Canada,coal (kilotonnes),Production
2015,Canada,coal (kilotonnes),Production
2016,Canada,coal (kilotonnes),Production
1995,Canada,coal (kilotonnes),Exports
1996,Canada,coal (kilotonnes),Exports
1997,Canada,coal (kilotonnes),Exports
1998,Canada,coal (kilotonnes),Exports
1999,Canada,coal (kilotonnes),Exports
2000,Canada,coal (kilotonnes),Exports
2001,Canada,coal (kilotonnes),Exports
2002,Canada,coal (kilotonnes),Exports
2003,Canada,coal (kilotonnes),Exports
2004,Canada,coal (kilotonnes),Exports
2005,Canada,coal (kilotonnes),Exports
2006,Canada,coal (kilotonnes),Exports
2007,Canada,coal (kilotonnes),Exports
2008,Canada,coal (kilotonnes),Exports
2009,Canada,coal (kilotonnes),Exports
2010,Canada,coal (kilotonnes),Exports
1995,Canada,coal (kilotonnes),Imports
1996,Canada,coal (kilotonnes),Imports
1997,Canada,coal (kilotonnes),Imports
1998,Canada,coal (kilotonnes),Imports
1999,Canada,coal (kilotonnes),Imports
2000,Canada,coal (kilotonnes),Imports
2001,Canada,coal (kilotonnes),Imports
2002,Canada,coal (kilotonnes),Imports
2003,Canada,coal (kilotonnes),Imports
2004,Canada,coal (kilotonnes),Imports
2005,Canada,coal (kilotonnes),Imports
2006,Canada,coal (kilotonnes),Imports
2007,Canada,coal (kilotonnes),Imports
2008,Canada,coal (kilotonnes),Imports
2009,Canada,coal (kilotonnes),Imports
2010,Canada,coal (kilotonnes),Imports
2011,Canada,coal (kilotonnes),Imports
2012,Canada,coal (kilotonnes),Imports
1996,Canada,coal (kilotonnes),Inter-regional transfers
1997,Canada,coal (kilotonnes),Inter-regional transfers
1998,Canada,coal (kilotonnes),Inter-regional transfers
1999,Canada,coal (kilotonnes),Inter-regional transfers
2000,Canada,coal (kilotonnes),Inter-regional transfers
2001,Canada,coal (kilotonnes),Inter-regional transfers
2002,Canada,coal (kilotonnes),Inter-regional transfers
2007,Canada,coal (kilotonnes),Inter-regional transfers
1995,Canada,coal (kilotonnes),Stock variation
1996,Canada,coal (kilotonnes),Stock variation
1997,Canada,coal (kilotonnes),Stock variation
1998,Canada,coal (kilotonnes),Stock variation
1999,Canada,coal (kilotonnes),Stock variation
2000,Canada,coal (kilotonnes),Stock variation
2001,Canada,coal (kilotonnes),Stock variation
2002,Canada,coal (kilotonnes),Stock variation
2003,Canada,coal (kilotonnes),Stock variation
2004,Canada,coal (kilotonnes),Stock variation
2005,Canada,coal (kilotonnes),Stock variation
2006,Canada,coal (kilotonnes),Stock variation
2007,Canada,coal (kilotonnes),Stock variation
2008,Canada,coal (kilotonnes),Stock variation
2009,Canada,coal (kilotonnes),Stock variation
2010,Canada,coal (kilotonnes),Stock variation
2011,Canada,coal (kilotonnes),Stock variation
2012,Canada,coal (kilotonnes),Stock variation
2013,Canada,coal (kilotonnes),Stock variation
2014,Canada,coal (kilotonnes),Stock variation
2015,Canada,coal (kilotonnes),Stock variation
2016,Canada,coal (kilotonnes),Stock variation
1995,Canada,coal (kilotonnes),Other adjustments
1996,Canada,coal (kilotonnes),Other adjustments
1997,Canada,coal (kilotonnes),Other adjustments
1998,Canada,coal (kilotonnes),Other adjustments
1999,Canada,coal (kilotonnes),Other adjustments
2000,Canada,coal (kilotonnes),Other adjustments
2001,Canada,coal (kilotonnes),Other adjustments
2002,Canada,coal (kilotonnes),Other adjustments
2003,Canada,coal (kilotonnes),Other adjustments
2004,Canada,coal (kilotonnes),Other adjustments
2005,Canada,coal (kilotonnes),Other adjustments
2006,Canada,coal (kilotonnes),Other adjustments
2007,Canada,coal (kilotonnes),Other adjustments
2008,Canada,coal (kilotonnes),Other adjustments
2009,Canada,coal (kilotonnes),Other adjustments
2010,Canada,coal (kilotonnes),Other adjustments
2011,Canada,coal (kilotonnes),Other adjustments
2012,Canada,coal (kilotonnes),Other adjustments
2013,Canada,coal (kilotonnes),Other adjustments
2014,Canada,coal (kilotonnes),Other adjustments
2015,Canada,coal (kilotonnes),Other adjustments
2016,Canada,coal (kilotonnes),Other adjustments
1995,Canada,coal (kilotonnes),Availability
1996,Canada,coal (kilotonnes),Availability
1997,Canada,coal (kilotonnes),Availability
1998,Canada,coal (kilotonnes),Availability
1999,Canada,coal (kilotonnes),Availability
2000,Canada,coal (kilotonnes),Availability
2001,Canada,coal (kilotonnes),Availability
2002,Canada,coal (kilotonnes),Availability
2003,Canada,coal (kilotonnes),Availability
2004,Canada,coal (kilotonnes),Availability
2005,Canada,coal (kilotonnes),Availability
2006,Canada,coal (kilotonnes),Availability
2007,Canada,coal (kilotonnes),Availability
2008,Canada,coal (kilotonnes),Availability
2009,Canada,coal (kilotonnes),Availability
2010,Canada,coal (kilotonnes),Availability
2011,Canada,coal (kilotonnes),Availability
2012,Canada,coal (kilotonnes),Availability
2013,Canada,coal (kilotonnes),Availability
2014,Canada,coal (kilotonnes),Availability
2015,Canada,coal (kilotonnes),Availability
2016,Canada,coal (kilotonnes),Availability
2013,Canada,coal (kilotonnes),Transformed to electricity by utilities
2014,Canada,coal (kilotonnes),Transformed to electricity by utilities
2015,Canada,coal (kilotonnes),Transformed to electricity by utilities
2016,Canada,coal (kilotonnes),Transformed to electricity by utilities
1995,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
1996,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
1997,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
1998,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
1999,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2000,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2001,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2002,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2003,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2004,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2005,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2006,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2007,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2008,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2009,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2010,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2011,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2012,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2013,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2014,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2015,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2016,Canada,coal (kilotonnes),Transformed to coke and manufactured gases
2005,Canada,coal (kilotonnes),Transformed to steam generation
2006,Canada,coal (kilotonnes),Transformed to steam generation
2007,Canada,coal (kilotonnes),Transformed to steam generation
2008,Canada,coal (kilotonnes),Transformed to steam generation
2010,Canada,coal (kilotonnes),Transformed to steam generation
2011,Canada,coal (kilotonnes),Transformed to steam generation
2012,Canada,coal (kilotonnes),Transformed to steam generation
2013,Canada,coal (kilotonnes),Transformed to steam generation
1995,Canada,coal (kilotonnes),Net supply
1996,Canada,coal (kilotonnes),Net supply
1997,Canada,coal (kilotonnes),Net supply
1998,Canada,coal (kilotonnes),Net supply
1999,Canada,coal (kilotonnes),Net supply
2000,Canada,coal (kilotonnes),Net supply
2001,Canada,coal (kilotonnes),Net supply
2002,Canada,coal (kilotonnes),Net supply
2003,Canada,coal (kilotonnes),Net supply
2004,Canada,coal (kilotonnes),Net supply
2005,Canada,coal (kilotonnes),Net supply
2006,Canada,coal (kilotonnes),Net supply
2007,Canada,coal (kilotonnes),Net supply
2008,Canada,coal (kilotonnes),Net supply
2009,Canada,coal (kilotonnes),Net supply
2010,Canada,coal (kilotonnes),Net supply
2011,Canada,coal (kilotonnes),Net supply
2012,Canada,coal (kilotonnes),Net supply
2013,Canada,coal (kilotonnes),Net supply
2014,Canada,coal (kilotonnes),Net supply
2015,Canada,coal (kilotonnes),Net supply
2016,Canada,coal (kilotonnes),Net supply
1995,Canada,coal (kilotonnes),Producer consumption
1996,Canada,coal (kilotonnes),Producer consumption
1997,Canada,coal (kilotonnes),Producer consumption
1998,Canada,coal (kilotonnes),Producer consumption
1999,Canada,coal (kilotonnes),Producer consumption
2000,Canada,coal (kilotonnes),Producer consumption
2001,Canada,coal (kilotonnes),Producer consumption
2002,Canada,coal (kilotonnes),Producer consumption
2003,Canada,coal (kilotonnes),Producer consumption
2004,Canada,coal (kilotonnes),Producer consumption
2005,Canada,coal (kilotonnes),Producer consumption
2006,Canada,coal (kilotonnes),Producer consumption
2007,Canada,coal (kilotonnes),Producer consumption
2008,Canada,coal (kilotonnes),Producer consumption
2009,Canada,coal (kilotonnes),Producer consumption
2010,Canada,coal (kilotonnes),Producer consumption
2011,Canada,coal (kilotonnes),Producer consumption
2012,Canada,coal (kilotonnes),Producer consumption
2013,Canada,coal (kilotonnes),Producer consumption
2014,Canada,coal (kilotonnes),Producer consumption
2015,Canada,coal (kilotonnes),Producer consumption
1995,Canada,coal (kilotonnes),Non-energy use
1996,Canada,coal (kilotonnes),Non-energy use
1997,Canada,coal (kilotonnes),Non-energy use
1998,Canada,coal (kilotonnes),Non-energy use
1999,Canada,coal (kilotonnes),Non-energy use
2000,Canada,coal (kilotonnes),Non-energy use
2001,Canada,coal (kilotonnes),Non-energy use
2002,Canada,coal (kilotonnes),Non-energy use
2003,Canada,coal (kilotonnes),Non-energy use
2004,Canada,coal (kilotonnes),Non-energy use
2005,Canada,coal (kilotonnes),Non-energy use
2006,Canada,coal (kilotonnes),Non-energy use
2007,Canada,coal (kilotonnes),Non-energy use
2008,Canada,coal (kilotonnes),Non-energy use
2009,Canada,coal (kilotonnes),Non-energy use
2010,Canada,coal (kilotonnes),Non-energy use
2011,Canada,coal (kilotonnes),Non-energy use
2012,Canada,coal (kilotonnes),Non-energy use
2013,Canada,coal (kilotonnes),Non-energy use
2014,Canada,coal (kilotonnes),Non-energy use
2015,Canada,coal (kilotonnes),Non-energy use
2016,Canada,coal (kilotonnes),Non-energy use
1995,Canada,coal (kilotonnes),"Energy use, final demand"
1996,Canada,coal (kilotonnes),"Energy use, final demand"
1997,Canada,coal (kilotonnes),"Energy use, final demand"
1998,Canada,coal (kilotonnes),"Energy use, final demand"
1999,Canada,coal (kilotonnes),"Energy use, final demand"
2000,Canada,coal (kilotonnes),"Energy use, final demand"
2001,Canada,coal (kilotonnes),"Energy use, final demand"
2002,Canada,coal (kilotonnes),"Energy use, final demand"
2003,Canada,coal (kilotonnes),"Energy use, final demand"
2004,Canada,coal (kilotonnes),"Energy use, final demand"
2005,Canada,coal (kilotonnes),"Energy use, final demand"
2006,Canada,coal (kilotonnes),"Energy use, final demand"
2007,Canada,coal (kilotonnes),"Energy use, final demand"
2008,Canada,coal (kilotonnes),"Energy use, final demand"
2009,Canada,coal (kilotonnes),"Energy use, final demand"
2010,Canada,coal (kilotonnes),"Energy use, final demand"
2011,Canada,coal (kilotonnes),"Energy use, final demand"
2012,Canada,coal (kilotonnes),"Energy use, final demand"
2013,Canada,coal (kilotonnes),"Energy use, final demand"
2014,Canada,coal (kilotonnes),"Energy use, final demand"
2015,Canada,coal (kilotonnes),"Energy use, final demand"
2016,Canada,coal (kilotonnes),"Energy use, final demand"
1995,Canada,coal (kilotonnes),Total industrial
1996,Canada,coal (kilotonnes),Total industrial
1997,Canada,coal (kilotonnes),Total industrial
1998,Canada,coal (kilotonnes),Total industrial
1999,Canada,coal (kilotonnes),Total industrial
2000,Canada,coal (kilotonnes),Total industrial
2001,Canada,coal (kilotonnes),Total industrial
2002,Canada,coal (kilotonnes),Total industrial
2003,Canada,coal (kilotonnes),Total industrial
2004,Canada,coal (kilotonnes),Total industrial
2005,Canada,coal (kilotonnes),Total industrial
2006,Canada,coal (kilotonnes),Total industrial
2007,Canada,coal (kilotonnes),Total industrial
2008,Canada,coal (kilotonnes),Total industrial
2009,Canada,coal (kilotonnes),Total industrial
2010,Canada,coal (kilotonnes),Total industrial
2011,Canada,coal (kilotonnes),Total industrial
2012,Canada,coal (kilotonnes),Total industrial
2013,Canada,coal (kilotonnes),Total industrial
2014,Canada,coal (kilotonnes),Total industrial
2015,Canada,coal (kilotonnes),Total industrial
2016,Canada,coal (kilotonnes),Total industrial
2001,Canada,coal (kilotonnes),Mining and oil and gas extraction
2002,Canada,coal (kilotonnes),Mining and oil and gas extraction
2003,Canada,coal (kilotonnes),Mining and oil and gas extraction
2005,Canada,coal (kilotonnes),Mining and oil and gas extraction
2006,Canada,coal (kilotonnes),Mining and oil and gas extraction
2007,Canada,coal (kilotonnes),Mining and oil and gas extraction
2008,Canada,coal (kilotonnes),Mining and oil and gas extraction
2009,Canada,coal (kilotonnes),Mining and oil and gas extraction
2010,Canada,coal (kilotonnes),Mining and oil and gas extraction
2014,Canada,coal (kilotonnes),Mining and oil and gas extraction
2015,Canada,coal (kilotonnes),Mining and oil and gas extraction
1995,Canada,coal (kilotonnes),Total manufacturing
1996,Canada,coal (kilotonnes),Total manufacturing
1997,Canada,coal (kilotonnes),Total manufacturing
1998,Canada,coal (kilotonnes),Total manufacturing
1999,Canada,coal (kilotonnes),Total manufacturing
2000,Canada,coal (kilotonnes),Total manufacturing
2001,Canada,coal (kilotonnes),Total manufacturing
2002,Canada,coal (kilotonnes),Total manufacturing
2003,Canada,coal (kilotonnes),Total manufacturing
2004,Canada,coal (kilotonnes),Total manufacturing
2005,Canada,coal (kilotonnes),Total manufacturing
2006,Canada,coal (kilotonnes),Total manufacturing
2007,Canada,coal (kilotonnes),Total manufacturing
2008,Canada,coal (kilotonnes),Total manufacturing
2009,Canada,coal (kilotonnes),Total manufacturing
2010,Canada,coal (kilotonnes),Total manufacturing
2011,Canada,coal (kilotonnes),Total manufacturing
2012,Canada,coal (kilotonnes),Total manufacturing
2013,Canada,coal (kilotonnes),Total manufacturing
2014,Canada,coal (kilotonnes),Total manufacturing
2015,Canada,coal (kilotonnes),Total manufacturing
2016,Canada,coal (kilotonnes),Total manufacturing
2007,Canada,coal (kilotonnes),Cement manufacturing
2008,Canada,coal (kilotonnes),Cement manufacturing
2009,Canada,coal (kilotonnes),Cement manufacturing
2010,Canada,coal (kilotonnes),Cement manufacturing
2011,Canada,coal (kilotonnes),Cement manufacturing
2012,Canada,coal (kilotonnes),Cement manufacturing
2013,Canada,coal (kilotonnes),Cement manufacturing
2014,Canada,coal (kilotonnes),Cement manufacturing
2015,Canada,coal (kilotonnes),Cement manufacturing
2016,Canada,coal (kilotonnes),Cement manufacturing
2011,Canada,coal (kilotonnes),All other manufacturing
2015,Canada,coal (kilotonnes),All other manufacturing
2002,Canada,coal (kilotonnes),Residential
2003,Canada,coal (kilotonnes),Residential
2004,Canada,coal (kilotonnes),Residential
2005,Canada,coal (kilotonnes),Residential
2006,Canada,coal (kilotonnes),Residential
2007,Canada,coal (kilotonnes),Residential
2008,Canada,coal (kilotonnes),Residential
2009,Canada,coal (kilotonnes),Residential
2010,Canada,coal (kilotonnes),Residential
2011,Canada,coal (kilotonnes),Residential
2012,Canada,coal (kilotonnes),Residential
2013,Canada,coal (kilotonnes),Residential
2014,Canada,coal (kilotonnes),Residential
2015,Canada,coal (kilotonnes),Residential
2009,Canada,coal (kilotonnes),Commercial and other institutional
2010,Canada,coal (kilotonnes),Commercial and other institutional
1995,Canada,coal (kilotonnes),Statistical difference
1996,Canada,coal (kilotonnes),Statistical difference
1997,Canada,coal (kilotonnes),Statistical difference
1998,Canada,coal (kilotonnes),Statistical difference
1999,Canada,coal (kilotonnes),Statistical difference
2000,Canada,coal (kilotonnes),Statistical difference
2001,Canada,coal (kilotonnes),Statistical difference
2002,Canada,coal (kilotonnes),Statistical difference
2003,Canada,coal (kilotonnes),Statistical difference
2004,Canada,coal (kilotonnes),Statistical difference
2005,Canada,coal (kilotonnes),Statistical difference
2006,Canada,coal (kilotonnes),Statistical difference
2007,Canada,coal (kilotonnes),Statistical difference
2008,Canada,coal (kilotonnes),Statistical difference
2009,Canada,coal (kilotonnes),Statistical difference
2010,Canada,coal (kilotonnes),Statistical difference
2011,Canada,coal (kilotonnes),Statistical difference
1995,Canada,Sub bituminous (kilotonnes),Statistical difference
1997,Canada,Sub bituminous (kilotonnes),Statistical difference
1999,Canada,Sub bituminous (kilotonnes),Statistical difference
2001,Canada,Sub bituminous (kilotonnes),Statistical difference
2002,Canada,Sub bituminous (kilotonnes),Statistical difference
2003,Canada,Sub bituminous (kilotonnes),Statistical difference
2004,Canada,Sub bituminous (kilotonnes),Statistical difference
2005,Canada,Sub bituminous (kilotonnes),Statistical difference
2006,Canada,Sub bituminous (kilotonnes),Statistical difference
2007,Canada,Sub bituminous (kilotonnes),Statistical difference
2008,Canada,Sub bituminous (kilotonnes),Statistical difference
2009,Canada,Sub bituminous (kilotonnes),Statistical difference
2010,Canada,Sub bituminous (kilotonnes),Statistical difference
2011,Canada,Sub bituminous (kilotonnes),Statistical difference
1995,Canada,Lignite (kilotonnes),Statistical difference
1996,Canada,Lignite (kilotonnes),Statistical difference
1997,Canada,Lignite (kilotonnes),Statistical difference
1998,Canada,Lignite (kilotonnes),Statistical difference
1999,Canada,Lignite (kilotonnes),Statistical difference
2000,Canada,Lignite (kilotonnes),Statistical difference
2001,Canada,Lignite (kilotonnes),Statistical difference
2002,Canada,Lignite (kilotonnes),Statistical difference
2003,Canada,Lignite (kilotonnes),Statistical difference
2004,Canada,Lignite (kilotonnes),Statistical difference
2005,Canada,Lignite (kilotonnes),Statistical difference
2006,Canada,Lignite (kilotonnes),Statistical difference
2007,Canada,Lignite (kilotonnes),Statistical difference
2008,Canada,Lignite (kilotonnes),Statistical difference
2009,Canada,Lignite (kilotonnes),Statistical difference
2010,Canada,Lignite (kilotonnes),Statistical difference
2011,Canada,Lignite (kilotonnes),Statistical difference
1995,Canada,Imported bituminous (kilotonnes),Statistical difference
1996,Canada,Imported bituminous (kilotonnes),Statistical difference
1997,Canada,Imported bituminous (kilotonnes),Statistical difference
1998,Canada,Imported bituminous (kilotonnes),Statistical difference
1999,Canada,Imported bituminous (kilotonnes),Statistical difference
2000,Canada,Imported bituminous (kilotonnes),Statistical difference
2001,Canada,Imported bituminous (kilotonnes),Statistical difference
2002,Canada,Imported bituminous (kilotonnes),Statistical difference
2003,Canada,Imported bituminous (kilotonnes),Statistical difference
2004,Canada,Imported bituminous (kilotonnes),Statistical difference
2005,Canada,Imported bituminous (kilotonnes),Statistical difference
2006,Canada,Imported bituminous (kilotonnes),Statistical difference
2007,Canada,Imported bituminous (kilotonnes),Statistical difference
2008,Canada,Imported bituminous (kilotonnes),Statistical difference
2009,Canada,Imported bituminous (kilotonnes),Statistical difference
2010,Canada,Imported bituminous (kilotonnes),Statistical difference
2011,Canada,Imported bituminous (kilotonnes),Statistical difference
1995,Canada,Crude oil,Production
1996,Canada,Crude oil,Production
1997,Canada,Crude oil,Production
1998,Canada,Crude oil,Production
1999,Canada,Crude oil,Production
2000,Canada,Crude oil,Production
2001,Canada,Crude oil,Production
2002,Canada,Crude oil,Production
2003,Canada,Crude oil,Production
2004,Canada,Crude oil,Production
2005,Canada,Crude oil,Production
2006,Canada,Crude oil,Production
2007,Canada,Crude oil,Production
2008,Canada,Crude oil,Production
2009,Canada,Crude oil,Production
2010,Canada,Crude oil,Production
2011,Canada,Crude oil,Production
2012,Canada,Crude oil,Production
2013,Canada,Crude oil,Production
2014,Canada,Crude oil,Production
2015,Canada,Crude oil,Production
2016,Canada,Crude oil,Production
1995,Canada,Crude oil,Exports
1996,Canada,Crude oil,Exports
1997,Canada,Crude oil,Exports
1998,Canada,Crude oil,Exports
1999,Canada,Crude oil,Exports
2000,Canada,Crude oil,Exports
2001,Canada,Crude oil,Exports
2002,Canada,Crude oil,Exports
2003,Canada,Crude oil,Exports
2004,Canada,Crude oil,Exports
2005,Canada,Crude oil,Exports
2006,Canada,Crude oil,Exports
2007,Canada,Crude oil,Exports
2008,Canada,Crude oil,Exports
2009,Canada,Crude oil,Exports
2010,Canada,Crude oil,Exports
2011,Canada,Crude oil,Exports
2012,Canada,Crude oil,Exports
2013,Canada,Crude oil,Exports
2014,Canada,Crude oil,Exports
2015,Canada,Crude oil,Exports
2016,Canada,Crude oil,Exports
1995,Canada,Crude oil,Imports
1996,Canada,Crude oil,Imports
1997,Canada,Crude oil,Imports
1998,Canada,Crude oil,Imports
1999,Canada,Crude oil,Imports
2000,Canada,Crude oil,Imports
2001,Canada,Crude oil,Imports
2002,Canada,Crude oil,Imports
2003,Canada,Crude oil,Imports
2004,Canada,Crude oil,Imports
2005,Canada,Crude oil,Imports
2006,Canada,Crude oil,Imports
2007,Canada,Crude oil,Imports
2008,Canada,Crude oil,Imports
2009,Canada,Crude oil,Imports
2010,Canada,Crude oil,Imports
2011,Canada,Crude oil,Imports
2012,Canada,Crude oil,Imports
2013,Canada,Crude oil,Imports
2014,Canada,Crude oil,Imports
2015,Canada,Crude oil,Imports
2016,Canada,Crude oil,Imports
1996,Canada,Crude oil,Inter-regional transfers
1997,Canada,Crude oil,Inter-regional transfers
1998,Canada,Crude oil,Inter-regional transfers
2000,Canada,Crude oil,Inter-regional transfers
2016,Canada,Crude oil,Inter-regional transfers
1995,Canada,Crude oil,Stock variation
1996,Canada,Crude oil,Stock variation
1997,Canada,Crude oil,Stock variation
1998,Canada,Crude oil,Stock variation
1999,Canada,Crude oil,Stock variation
2000,Canada,Crude oil,Stock variation
2001,Canada,Crude oil,Stock variation
2002,Canada,Crude oil,Stock variation
2003,Canada,Crude oil,Stock variation
2004,Canada,Crude oil,Stock variation
2005,Canada,Crude oil,Stock variation
2006,Canada,Crude oil,Stock variation
2007,Canada,Crude oil,Stock variation
2008,Canada,Crude oil,Stock variation
2009,Canada,Crude oil,Stock variation
2010,Canada,Crude oil,Stock variation
2011,Canada,Crude oil,Stock variation
2012,Canada,Crude oil,Stock variation
2013,Canada,Crude oil,Stock variation
2014,Canada,Crude oil,Stock variation
2015,Canada,Crude oil,Stock variation
2016,Canada,Crude oil,Stock variation
1995,Canada,Crude oil,Inter-product transfers
1996,Canada,Crude oil,Inter-product transfers
1997,Canada,Crude oil,Inter-product transfers
1998,Canada,Crude oil,Inter-product transfers
1999,Canada,Crude oil,Inter-product transfers
2000,Canada,Crude oil,Inter-product transfers
2001,Canada,Crude oil,Inter-product transfers
2002,Canada,Crude oil,Inter-product transfers
2003,Canada,Crude oil,Inter-product transfers
2004,Canada,Crude oil,Other adjustments
2005,Canada,Crude oil,Other adjustments
2006,Canada,Crude oil,Other adjustments
2007,Canada,Crude oil,Other adjustments
2008,Canada,Crude oil,Other adjustments
2009,Canada,Crude oil,Other adjustments
2010,Canada,Crude oil,Other adjustments
2011,Canada,Crude oil,Other adjustments
2012,Canada,Crude oil,Other adjustments
2013,Canada,Crude oil,Other adjustments
2014,Canada,Crude oil,Other adjustments
2015,Canada,Crude oil,Other adjustments
2016,Canada,Crude oil,Other adjustments
1995,Canada,Crude oil,Availability
1996,Canada,Crude oil,Availability
1997,Canada,Crude oil,Availability
1998,Canada,Crude oil,Availability
1999,Canada,Crude oil,Availability
2000,Canada,Crude oil,Availability
2001,Canada,Crude oil,Availability
2002,Canada,Crude oil,Availability
2003,Canada,Crude oil,Availability
2004,Canada,Crude oil,Availability
2005,Canada,Crude oil,Availability
2006,Canada,Crude oil,Availability
2007,Canada,Crude oil,Availability
2008,Canada,Crude oil,Availability
2009,Canada,Crude oil,Availability
2010,Canada,Crude oil,Availability
2011,Canada,Crude oil,Availability
2012,Canada,Crude oil,Availability
2013,Canada,Crude oil,Availability
2014,Canada,Crude oil,Availability
2015,Canada,Crude oil,Availability
2016,Canada,Crude oil,Availability
1995,Canada,Crude oil,Transformed to refined petroleum products
1996,Canada,Crude oil,Transformed to refined petroleum products
1997,Canada,Crude oil,Transformed to refined petroleum products
1998,Canada,Crude oil,Transformed to refined petroleum products
1999,Canada,Crude oil,Transformed to refined petroleum products
2000,Canada,Crude oil,Transformed to refined petroleum products
2001,Canada,Crude oil,Transformed to refined petroleum products
2002,Canada,Crude oil,Transformed to refined petroleum products
2003,Canada,Crude oil,Transformed to refined petroleum products
2004,Canada,Crude oil,Transformed to refined petroleum products
2005,Canada,Crude oil,Transformed to refined petroleum products
2006,Canada,Crude oil,Transformed to refined petroleum products
2007,Canada,Crude oil,Transformed to refined petroleum products
2008,Canada,Crude oil,Transformed to refined petroleum products
2009,Canada,Crude oil,Transformed to refined petroleum products
2010,Canada,Crude oil,Transformed to refined petroleum products
2011,Canada,Crude oil,Transformed to refined petroleum products
2012,Canada,Crude oil,Transformed to refined petroleum products
2013,Canada,Crude oil,Transformed to refined petroleum products
2014,Canada,Crude oil,Transformed to refined petroleum products
2015,Canada,Crude oil,Transformed to refined petroleum products
2016,Canada,Crude oil,Transformed to refined petroleum products
1995,Canada,Natural gas (gigalitres),Production
1996,Canada,Natural gas (gigalitres),Production
1997,Canada,Natural gas (gigalitres),Production
1998,Canada,Natural gas (gigalitres),Production
1999,Canada,Natural gas (gigalitres),Production
2000,Canada,Natural gas (gigalitres),Production
2001,Canada,Natural gas (gigalitres),Production
2002,Canada,Natural gas (gigalitres),Production
2003,Canada,Natural gas (gigalitres),Production
2004,Canada,Natural gas (gigalitres),Production
2005,Canada,Natural gas (gigalitres),Production
2006,Canada,Natural gas (gigalitres),Production
2007,Canada,Natural gas (gigalitres),Production
2008,Canada,Natural gas (gigalitres),Production
2009,Canada,Natural gas (gigalitres),Production
2010,Canada,Natural gas (gigalitres),Production
2011,Canada,Natural gas (gigalitres),Production
2012,Canada,Natural gas (gigalitres),Production
2013,Canada,Natural gas (gigalitres),Production
2014,Canada,Natural gas (gigalitres),Production
2015,Canada,Natural gas (gigalitres),Production
2016,Canada,Natural gas (gigalitres),Production
1995,Canada,Natural gas (gigalitres),Exports
1996,Canada,Natural gas (gigalitres),Exports
1997,Canada,Natural gas (gigalitres),Exports
1998,Canada,Natural gas (gigalitres),Exports
1999,Canada,Natural gas (gigalitres),Exports
2000,Canada,Natural gas (gigalitres),Exports
2001,Canada,Natural gas (gigalitres),Exports
2002,Canada,Natural gas (gigalitres),Exports
2003,Canada,Natural gas (gigalitres),Exports
2004,Canada,Natural gas (gigalitres),Exports
2005,Canada,Natural gas (gigalitres),Exports
2006,Canada,Natural gas (gigalitres),Exports
2007,Canada,Natural gas (gigalitres),Exports
2008,Canada,Natural gas (gigalitres),Exports
2009,Canada,Natural gas (gigalitres),Exports
2010,Canada,Natural gas (gigalitres),Exports
2011,Canada,Natural gas (gigalitres),Exports
2012,Canada,Natural gas (gigalitres),Exports
2013,Canada,Natural gas (gigalitres),Exports
2014,Canada,Natural gas (gigalitres),Exports
2015,Canada,Natural gas (gigalitres),Exports
2016,Canada,Natural gas (gigalitres),Exports
1995,Canada,Natural gas (gigalitres),Imports
1996,Canada,Natural gas (gigalitres),Imports
1997,Canada,Natural gas (gigalitres),Imports
1998,Canada,Natural gas (gigalitres),Imports
1999,Canada,Natural gas (gigalitres),Imports
